OLASI SORULAR - PINAR AGENT 35 YAŞINDA ATİNADA YAŞIYOR,CEVAPLAR 
davetiye için gerekli belgeler ,"DAVETİYE DÜZENLENMESİ İÇİN GEREKLİLİKLER:

- Davetiye çıkarılacak kişinin adı ve soyadı
- Anne ve baba adı soyadı
- Sabıka kaydı
- Pasaportun ön sayfası
- İkametgah adresi
- Eposta adresi
- Davetiye'nin çıkartılmak istendiği tarih aralığı"
whatsapp kanalımız üye olun ,"Size en güncel bilgileri daha hızlı ve kolay ulaştırabilmek için bir WhatsApp kanalı kurduk.

Burada, portföyümüze eklenen en yeni mülklerden Golden Visa'daki önemli değişikliklere, özel seminer duyurularından YouTube'da paylaştığımız yeni videolara kadar birçok konuda sizi anında bilgilendireceğiz.

Aşağıdaki linke tıklayarak kolayca katılabilirsiniz:
https://www.whatsapp.com/channel/0029VbBI5FYDDmFQA3jIoC39"
banka hesabımız ,"ΙΒΑΝ: GR26 0340 0170 0170 0079 4027 197
ALICI : SOLOMON UNITED REALTORS
ALICI ADRESİ : ZAN MOREAS 12 KOUKAKİ ATHENS GREECE 
BANKA : OPTIMABANK
BRANCH : PALAIO FALIRO BRANCH
IBOGGRAA XXX BIC / SWIFT Code - OPTIMA BANK S.A.
BANK ADRESS : AGİOU ALEKSANDROU 4 PALAIO FALIRO 

OPTIMA BANK HESABINDAN AKTARIM İÇİN HESAP NUMARASI 
17000794027197"
kosta beyin iletişim bilgileri ,Kosta beye 00306983828390 whatsapp telefon numarası üzerinden ulaşabilirsiniz. Normal arama için 00306987098983 numaralı telefondan ulaşabilirsiniz. Kosta bey'in kişisel elektronik posta adresi ka@investgreece.gr dir 
mevcut müşterilerimizin kiralama konuları ile ilgili olarak ilgili kişi yönlendirmesi  -  ATİNA KİRALAMA DEPARTMANI ,atina kiralama departmanı 
mevcut müşterilerimizin kiralama konuları ile ilgili olarak ilgili kişi yönlendirmesi  -   PATRA  KİRALAMA DEPARTMANI ,patra kiralama departmanı 
mevcut müşterilerimizin kiralama konuları ile ilgili olarak ilgili kişi yönlendirmesi  -  SELANİK KİRALAMA DEPARTMANI ,selanik kiralama departmanı 
mevcut müşterilerimizin kiralama konuları ile ilgili olarak ilgili kişi yönlendirmesi  - FİNANS DEPARTMANI ,finans departmanı 
mevcut müşterilerimizin kiralama konuları ile ilgili olarak ilgili kişi yönlendirmesi  - ATİNA AİDAT ,atina aidat departmanı 
mevcut müşterilerimizin kiralama konuları ile ilgili olarak ilgili kişi yönlendirmesi  - PATRA AİDAT ,patra aidat 
mevcut müşterilerimizin kiralama konuları ile ilgili olarak ilgili kişi yönlendirmesi  - ELEKTRİK ,elektrik işleri 
mevcut müşterilerimizin kiralama konuları ile ilgili olarak ilgili kişi yönlendirmesi  - AVUKAT ,ESKİ MÜŞTERİ İSE HANGİ AVUKAT İLE ÇALIŞTIĞINI SORACAK ONDAN SONRA İLGİLİ AVUKATIN BİLGİLERİNİ GÖNDERECEK 
mevcut müşterilerimizin kiralama konuları ile ilgili olarak ilgili kişi yönlendirmesi  - RENOVASYON ,renovasyon 
mevcut müşterilerimizin kiralama konuları ile ilgili olarak ilgili kişi yönlendirmesi  - EMLAK ,KOSTA ARSLANOĞLU 
mevcut müşterilerimizin kiralama konuları ile ilgili olarak ilgili kişi yönlendirmesi  - PATRA SATIŞ SONRASI ,patra satış sonrası 
mevcut müşterilerimizin kiralama konuları ile ilgili olarak ilgili kişi yönlendirmesi  - ATİNA SATIŞ SONRASI ,atina satış sonrası 
mevcut müşterilerimizin kiralama konuları ile ilgili olarak ilgili kişi yönlendirmesi  -,her işle alakalı olarak ilgili departmana mail gönderilecek ve bilgi verilecek 
contact information ,Kostas Arslanoglou 0030 6987098983  kostas@investgreece.grYÖNETİM 
contact information ,Kostas Arslanoglou 0030 6987098983  kostas@investgreece.gr  YÖNETİM  TÜM EMLAK KONULARI 
contact information ,Elena Dima  0030 6947161937 info@investgreece.gr   EMLAK DANIŞMANI 
contact information ,Marianna Stivahti 003 6986982156 solomonfront@gmail.com FİNANS DEPARTMANI   ÖDEMELER GELDİ Mİ SORULARI ÖDEME YAPILDI MI SORULARININ HEPSİNİ CEVAPLAYAN KİŞİ  
contact information ,Theofanis Kakkos 003 6944416796  investgreecerealtors@gmail.com  EMLAK DANIŞMANI 
contact information ,Theofilos Papadopoulos 003 6944416777  solomonsales99@gmail.com    LOJİSTİK - SÜRÜCÜ  HAVAALANI TRANSFERLERİ 
contact information ,Esra Karabulut6989079368esra.erim@gmail.comOPERASYON YÖNETİCİSİ 
contact information ,Katerina Stefanopoulou 6980446440investgreecestefanopoulou@gmail.comLOJİSTİK - 
contact information ,Chrysa Naskari 6940426683solomonoperations1@gmail.comMÜLK YÖNETİMİ 
contact information ,Efthymia Petsa6946922829solomonoperations3@gmail.comMÜLK YÖNETİMİ ASSİSTAN
contact information ,Hristov Aleksandros 6973404907solomontransfer21@gmail.com RENTAL DEPARTMENT 
contact information ,Demet Yilmaz 6947419345/ +905078471095demetyzzz@gmail.comSOSYAL MEDYA 
contact information ,Despoina Tasi6986565635solomonlegal13@gmail.comLAWYER 
contact information ,Xythali Ludia 6937864095lydiax@solomonrealtors.comEMLAK DANIŞMANI 
contact information ,Grigoriadis Konstantinos6908262073LOJİSTİK MÜDÜRÜ 
contact information ,Konstantina Vigli 6970589108solomonoperations4@gmail.comAİDAT YÖNETİMİ 
contact information ,Anna Kozma 6994891824solomonoperations5@gmail.comRENTAL DEPARTMENT 
contact information ,Pieroulis Konstantinos 6987857660investgreecekostas@gmail.comCOMMUNİCATİON CENTER 
contact information ,"Athina Papanikolopoulou 6989316092, 6949699489(εταιρικό)hr.solomon.united@gmail.comELECTRİCİTY WATER "
contact information ,Baris Bora Yuksel (Maximos) 6943246001frontdesk2solomon@gmail.comAFTER SALES COMMUNİCATİON 
contact information ,Aggelos Ntourlaris6987855658ntourlarisinvestgreece@gmail.comAFTER SALES COMMUNİCATİON 
contact information ,Aggelos Arslanoglu699442117solomonoperations7@gmail.comAFTER SALES COMMUNİCATİON 
contact information ,
contact information ,Μαρία ΚυριτοπούλουKyritopouloulou Maria6940328754solomonpatra2@gmail.com
contact information ,Πωλίνα ΔημητροπούλουPolina Dimitropoulou6940328751solomonpatra03@gmail.com
contact information ,Μαρία ΒάσσηMaria Vassi 6943653508solomonpatra06@gmail.com
contact information ,Χριστίνα Φώτη Xristina foti 6943653498solomonpatra05@gmail.com
contact information ,Χαριλένα Γιαννάκη Xarilena Giannaki6940567573solomonpatra08@gmail.com
contact information ,Kemal Okurkemal okur 6947161924
contact information ,Okay Aziz Okay Aziz 6986396373
contact information ,Πάνος ΚυριαζόπουλοςPanos Kyriazopoulos6985568435panoskyriaz@gmail.com
contact information ,Μελιώ ΚωστόγιαννηMelio Kostogianni6974835684mkostogianni@gmail.com
contact information ,Φιγκέν ΡαμαδάνογλουFigen Ramadanoglou6938206881figenram@gmail.com  - info@rplaw.gr - polits@rplaw.gr - info@ramadanogloulaw.gr - ramadanoglou@rplaw
contact information ,Γεώργιος ΣτεφανάκοςGeorge Stefanakos2103606961info@stefanakos.gr
contact information ,Ηρώ ΠεργιαλιώτηIro Pergialioti2103215337iro_pergialioti@yahoo.gr
contact information ,Καλλιόπη ΦραντζήKalliopi Frantzi2610327860frantzikalliopi3@gmail.com
Yunanistan’da Noter Vekaletnamesinin İptali (Revocation of Power of Attorney),"1. Vekaletnamenin iptali mümkündür

Yunan hukukuna göre vekalet veren kişi (principal), dilediği zaman verdiği vekaletnameyi iptal etme hakkına sahiptir.
Bu, hem süresiz vekaletnamelerde hem de belirli işlemler için düzenlenmiş vekaletlerde geçerlidir.
Hiçbir noter veya avukat, vekalet veren kişinin rızası olmadan bu hakkı sınırlayamaz.

🔹 2. İptal işlemi nasıl yapılır?

Vekaletnameyi iptal etmek için:

Vekaletnameyi düzenleyen noterde yeni bir “iptal beyanı” (revocation deed) hazırlanır.

Bu belge, vekaletin artık hükümsüz olduğunu resmî olarak bildirir.

İptal edilen vekaletin numarası ve tarihi iptal belgesine işlenir.

⚖️ Örnek:
“Bu belgeyle, [tarih] tarihli ve [numara] sayılı vekaletnameyi iptal ettiğimi beyan ederim.”

🔹 3. Vekalet verilen kişinin bilgilendirilmesi

İptal işlemi tamamlandıktan sonra, noter veya vekalet veren kişi tarafından:

Vekalet verilen kişi (avukat, danışman vb.) resmî olarak yazılı şekilde bilgilendirilmelidir.

Aksi halde kişi, iptalden haberdar olmadığı sürece iyi niyetli olarak işlem yapmaya devam edebilir.

Bu nedenle, iptal beyanı yapıldıktan sonra ilgili kişiye noter tebligi veya e-posta bildirimi yapılması tavsiye edilir.

🔹 4. Tapu veya diğer kurumlara bildirim

Eğer vekaletname tapu işlemleri, banka, göç ofisi veya vergi dairesi gibi kurumlarda kullanılmışsa,
iptal belgesi bu kurumlara da iletilmelidir.
Böylece, sistemdeki yetki derhal kaldırılır.

🏛️ Özellikle tapu vekaletlerinde, iptal belgesi tapu dairesine (Land Registry) gönderilmelidir.

🔹 5. Türkiye’den verilen vekaletnamenin iptali (uzaktan)

Eğer vekaletname Yunanistan’da verilmiş ancak siz Türkiye’deyseniz,
iptali şu şekilde yapabilirsiniz:

Türkiye’deki bir noterden iptal belgesi düzenlenir,

Belgeye apostil (Lahey onayı) alınır,

Ardından belge Yunanistan’a gönderilir ve Yunanca tercümesi yapılır,

Son olarak Yunan noterine veya ilgili avukata iletilir.

Bu şekilde iptal, Yunanistan’da da resmiyet kazanır.

🔹 6. Ücret ve işlem süresi

Noter iptal belgesi ücreti genellikle 50–80 € civarındadır.

İşlem süresi: aynı gün içinde tamamlanabilir.

Eğer yurtdışından yapılacaksa apostil ve tercüme süreciyle birlikte 3–7 iş günü sürebili"
hizmetlerimiz ,"Şirketimiz, vekaletname iptali ve revizyon süreçlerinde müvekkillerine tam hukuki destek sağlamaktadır.
İptal işlemi hem noter hem avukat aracılığıyla koordine edilerek, tüm kurumlarda yetkilerin sistemden düşürülmesi sağlanır."
hizmetlerimiz 2 ,"Uzmanlık alanı Yunanistan oturum izni olan bir emlak danışmanlık şirketiyiz. Mülk yönetimi dahil olmak üzere, müşterilerimizin satın alma, kiralama, vergi, sigorta ve oturum izni süreçlerindeki tüm işlemlerini profesyonel ekibimiz aracılığıyla, hizmet bedeli karşılığında eksiksiz olarak yürütüyoruz."
,
,
Türkiyedeki evimi satarak yunanistanda ev alip vatandaslik istiyorum takasa giden olurmu bedel ne kadar,Yunanistanda minimum 250.000 euro değerinde bir mülk satın alarak oturum izninden yararlanabilirsiniz. 7 yıl Yunanistanda yaşamak şartıyla da Vatandaşlık için başvuru hakkı elde edersiniz. Türkiyeden takas ile ilgili malesef size yardımcı olma şansımız bulunmuyor. Ancak mülkünüzü sattıktan sonra Yunanistandan mülk alımı ve oturum izni ile ilgili konularda yardımcı olmaktan memnuniyet duyarım.
Yunanistandan ev kiralasam oturum izninden yararlanabilir miyim? ,Yunanistanda oturum izninden yararlanabilmeniz için minimum 250.000 euro değerinde bir mülk satın almanız gerekmektedir. Ev kiralayarak oturum izninden yararlanma şansınız bulunmuyor
taksitli satış var mı ? ,şu anda yunanistanda çok sayıda proje var bazıları ödeme planı kabul edebiliyor size ödeme konusunda taksit kabul eden projeleri gönderebiliriz 
Yunanistan’da Türkler ev alabilir mi?,"Evet, Türk vatandaşları Yunanistan'da ev alabilir. Ancak, 12 Adalar ve sınıra yakın bazı bölgelerde Türk vatandaşlarının gayrimenkul alımı sınırlandırılmıştır."
"yunanistan golden visa veriyor mu , oturum izni programı geçerli mi ",evet ama kurallar geçen sene değişti şimdi üç tane yatırım yolu ile oturum izni çeşidi var 250 lik bant 400 lük bant 800 lük bant bu bantlar hakkında ayrı ayrı bilgi vermemi istermisiniz ?
,
,
yunanistan oturum izni ile ilgili devletin kurumsal sitesi ,https://migration.gov.gr/en/golden-visa/
,
"Yunanistan’da Taşınmaz Mal (Gayrimenkul) Sahiplerine İkamet İzni Verilmesi veya Yenilenmesi Başvurusu

(Madde 20B, 4251/2014 sayılı Yasa)","Yunanistan’da Taşınmaz Mal Sahiplerine İkamet İzni Başvuru veya Yenileme Usulü

(4251/2014 sayılı Yasa, Madde 20B)

4251/2014 sayılı Yasanın 8. maddesinin 2. fıkrası ve 9. maddesinin 2. fıkrası hükümlerine göre, ikamet izni verilmesi veya yenilenmesi başvurusu, başvuru sahibinin yetkili kıldığı bir avukat tarafından yapılabilir.
Bu durumda, vekaletnamenin yazılı olması ve vekalet verenin imzasının herhangi bir kamu makamı tarafından tasdik edilmesi şarttır.

Bu imkân, başvuru tarihinde geçerli bir giriş vizesinin (C veya D tipi) bulunması koşuluyla geçerlidir.

🟩 Ancak özel durum (Madde 20B – Gayrimenkul Sahipleri için)

Yasanın 20B maddesi kapsamına giren kişiler, yani Yunanistan’da taşınmaz mal (gayrimenkul) sahibi olan yatırımcılar için bu genel kuraldan istisna tanınmıştır.
Bu özel durumda:

İlgili yatırımcı, Yunanistan’a geçerli bir vizeyle (C veya D tipi) giriş yapabilir.

Vize süresi devam ederken, bir avukata vekaletname vererek gayrimenkul satın alma işlemlerinin tamamlanmasını ve ikamet izni başvurusunun yapılmasını yetkilendirebilir.

Avukat, taşınmazın satın alma işlemi tamamlandıktan sonra, gerekli belgelerle birlikte yetkili Yabancılar ve Göç Dairesine (Υ.Α.Μ.) ikamet izni başvurusunu yapabilir.

Bu işlem, giriş vizesinin süresi dolduktan sonra bile yapılabilir; çünkü yasanın 20. maddesinin 5. paragrafının ikinci cümlesine göre,
başvuru sahibinin Yunanistan’da belirli bir süre ikamet etme zorunluluğu yoktur."
,
,
,"Gayrimenkul Sahiplerine İkamet İzni Verilmesi

Gayrimenkul yatırımcılarına ikamet izni verilmesine ilişkin başvurularda, bazı durumlarda “ilgili Tapu Kadastro Bürosu tarafından düzenlenen ‘Tescil Edilebilir İşlem Kaydı Belgesi’” (Καταχώρηση Εγγραπτέας Πράξης) ibraz edilmekte ve bu belgenin, normalde talep edilen “Satış Sözleşmesinin İlgili Tapu Sicil Müdürlüğüne Tescil Edildiğine Dair Belge” yerine geçip geçemeyeceği sorulmaktadır.

Bu konuda açıklığa kavuşturmak üzere, aşağıdaki husus tarafınıza bildirilmektedir:

Söz konusu belge eşdeğer (geçerli) bir belge olarak kabul edilebilir.
Zira 2664/1998 sayılı Kanun hükümlerine göre, bir bölgedeki kadastro çalışmaları tamamlandığında, eski “Tescil ve İpotek Sistemi” yürürlükten kalkmakta ve bunun yerine “Faaliyette Olan Kadastro Sistemi (Λειτουργούν Κτηματολόγιο)” devreye girmektedir.

Dolayısıyla, gayrimenkulün bulunduğu bölge kadastro sistemine geçmişse ve orada geçici veya kalıcı Kadastro Büroları (Κτηματολογικά Γραφεία) faaliyetteyse, bu bölgelerde yapılan işlemler için söz konusu “Tescil Edilebilir İşlem Kaydı” belgesi, satış tescil belgesine eşdeğer sayılır.

Bu nedenle, böyle durumlarda yapılan başvurular kabul edilmeli ve ilgili başvuru sahiplerine Tip A Beyanı (βεβαίωση τύπου Α’) düzenlenmelidir."
,
yunanistanda şartlı satış nedir ve nasıl işler ,"Yunanistan’da Şartlı Satış (Πώληση υπό αίρεση)
🔹 1. Tanım

Şartlı satış, bir gayrimenkulün mülkiyet hakkının hemen devredilmediği, ancak belirli bir şartın (örneğin ödemelerin tamamlanması veya inşaatın bitmesi) yerine getirilmesiyle devrin kesinleştiği satış türüdür.

Yani satış sözleşmesi noter huzurunda imzalanır, ancak mülkiyet tescili, sözleşmede belirtilen koşulların sağlanmasına bağlıdır.

💡 Basitçe:
“Mülkü satın alırsınız ama tapu, şart tamamlandığında sizin olur.”

🔹 2. En sık kullanılan durumlar

Şartlı satış en çok şu durumlarda kullanılır:

Gayrimenkul inşaat halindeyse (örneğin proje tamamlanmadıysa),

Taksitle veya kademeli ödeme yapılıyorsa,

Satıcı ile alıcı arasında belirli bir ön koşul (örneğin izin, ruhsat, vergi onayı) varsa.

🔹 3. Sürecin işleyişi

1️⃣ Ön Satış Sözleşmesi (Προσύμφωνο) hazırlanır:

Taraflar arasında satış şartları, ödeme planı, teslim tarihi ve koşullar noter huzurunda belirlenir.

Bu aşamada genellikle ön ödeme (προκαταβολή) yapılır.

2️⃣ Şartlı Satış Sözleşmesi (Συμβόλαιο υπό αίρεση) imzalanır:

Satış noter tarafından resmileştirilir.

Tapuya geçici kayıt yapılabilir (özellikle inşaat projelerinde).

3️⃣ Şartın gerçekleşmesi:

Tüm ödemelerin tamamlanması,

İnşaatın bitmesi veya

Gerekli izinlerin alınması gibi koşullar yerine getirildiğinde,
satış kesinleşir (οριστική μεταβίβαση) ve tapu alıcının adına tescil edilir.

🔹 4. Alıcının güvenliği

Yunan hukukunda alıcı, genellikle “ön alım hakkı (δικαίωμα προσυμφώνου)” ile korunur.
Bu sayede satıcı, şartlı satış döneminde mülkü başka birine satamaz.
Ayrıca, noter ve tapu dairesi kayıtları üzerinden sözleşme resmiyet kazanır.

📜 Bu tür satışlarda genellikle avukatın ve mühendisin hukuki incelemesi zorunludur.

🔹 5. Tapu ve vergi durumu

Şartlı satış sözleşmesi imzalandığında tapuda geçici kayıt (προσημείωση ή εγγραφή) yapılabilir.

Tapu harcı (%3,09) genellikle nihai satış sırasında ödenir.

Şartlı satış aşamasında yalnızca noter ve hukuki masraflar uygulanır.

🔹 6. Golden Visa (Yunanistan Oturum İzni) ile ilişkisi

Golden Visa programında da bazı durumlarda şartlı satış sözleşmesi kullanılabilir.
Ancak oturum izni başvurusu yapılabilmesi için:

Satış sözleşmesinin kesinleşmiş (οριστικό συμβόλαιο) olması,

Bedelin tamamının ödenmiş olması gerekir.
Yani sadece şartlı satış yapılmışsa, oturum izni süreci henüz başlatılamaz.

🟢 Özetle
Aşama	Açıklama
Şartlı satış sözleşmesi	Mülkiyet, belirli koşul gerçekleşince devredilir
Kullanım alanı	İnşaat halindeki projeler, aşamalı ödemeler
Güvence	Noter onayı + alıcının ön alım hakkı
Tapu işlemi	Şart gerçekleşince tapu devri tamamlanır
Golden Visa	Yalnızca kesin satış sonrası başvuru yapılabilir
💼 Şirketimizin rolü

Biz, şartlı satış işlemlerinde:

Hukuki inceleme,

Noter sözleşmesi hazırlığı,

Tapu kayıt ve vergi süreçlerinin yönetimi
konularında müşterilerimize tam kapsamlı destek sağlıyoruz."
şartlı satış nedir ,"Şartla (Fesih Koşuluyla) Gayrimenkul Satışı – Ne Anlama Gelir?

Fesih koşuluna bağlı satış (Yunanca: πώληση υπό διαλυτική αίρεση), belirli şartlara tabi olan özel bir satış türüdür.
Bu satış biçimi, belirli koşulların gerçekleşmesi veya gerçekleşmemesi durumunda satışın iptal edilmesini ve mülkün tekrar satıcıya dönmesini mümkün kılar.
Aşağıda, bu sistemin ne anlama geldiğini, hangi durumlarda uygulandığını ve taraflar açısından doğurduğu hukuki sonuçları açıklıyoruz.

🔹 Fesih Koşulu (Διαλυτική Αίρεση) Nedir?

Fesih koşulu, bir sözleşmenin belirli bir olayın gerçekleşmesine (veya gerçekleşmemesine) bağlı olarak kendiliğinden sona erebileceğini ifade eden hukukî bir kavramdır.
Gayrimenkul satışı özelinde bu, şu anlama gelir:
Eğer sözleşmede belirtilen koşullar yerine getirilirse (örneğin kredi onayı alınmazsa veya ödeme yapılmazsa), satış iptal olur ve mülkiyet tekrar satıcıya geçer.

🔹 Yunanistan’daki Hukuki Çerçeve

Yunan Medeni Kanunu, fesih koşuluyla satış sözleşmelerine açıkça izin vermektedir.
Bu koşul, noter huzurunda imzalanan satış sözleşmesinde açıkça belirtilir ve sözleşmenin ayrılmaz bir parçası olur.
Dolayısıyla, her iki taraf da bu koşulların gerçekleşmesi halinde satışın sona ereceğini önceden kabul etmiş olur.

🔹 Fesih Koşulu Ne Zaman Kullanılır?

Bu satış türü, özellikle aşağıdaki durumlarda tercih edilir:

1️⃣ Kredi veya finansman kullanımı:
Eğer alıcı gayrimenkulü banka kredisiyle alıyorsa, sözleşmeye “kredi onaylanmazsa satış iptal olur” maddesi eklenebilir.

2️⃣ İdari izinlere bağlı durumlar:
Satış işleminin tamamlanması, bir kamu kurumunun (örneğin imar dairesi) onayına bağlıysa, fesih koşulu tarafları korur.

3️⃣ Alıcının yükümlülükleri:
Alıcı, ödeme taksitlerini zamanında yerine getirmezse veya sözleşme şartlarını ihlal ederse, satıcı sözleşmeyi feshedip mülkü geri alabilir.

🔹 Taraflar Açısından Hukuki Sonuçlar

Satıcı açısından:

Satıcı, sözleşmede belirtilen şartlar yerine getirilmezse, mülkün mülkiyetini geri alma hakkını korur.

Alıcı açısından:

Alıcı, yükümlülüklerini yerine getirmezse, mülkü kaybedebilir.

Bu durumda, ödediği bedelin tamamını veya bir kısmını geri alamama riski doğabilir.

Üçüncü kişiler açısından:

Mülk üçüncü kişilere satılmış veya teminat olarak gösterilmişse, fesih koşulunun varlığı hukukî karmaşaya yol açabilir.

🔹 Dikkat Edilmesi Gereken Hususlar ve Tavsiyeler

Fesih koşullu satışlarda ileride sorun yaşanmaması için:

Sözleşme mutlaka konu hakkında uzman bir avukat tarafından hazırlanmalıdır.

Fesih koşulları açık, net ve ölçülebilir şekilde yazılmalıdır.

Sözleşmenin Yunan Medeni Kanunu’na uygunluğu kontrol edilmelidir.

Alıcının korunması için ipotek şerhi (προσημείωση υποθήκης) kaydı düşünülmelidir.

🔹 Sonuç

Fesih koşuluna bağlı gayrimenkul satışı, tarafların çıkarlarını belirli durumlarda koruyabilecek uygulamada kullanılan bir yöntemdir.
Ancak bu tür sözleşmelerin hazırlanması ve uygulanması dikkat gerektirir; yanlış veya eksik düzenlenmiş bir madde, ileride ciddi hukuki sorunlara yol açabilir.
Bu nedenle, böyle bir işlem yapılmadan önce mutlaka hukukî danışmanlık alınması önerilir."
yunanistanda kiralama ile ilgili genel çerçeve ,"Yunanistan’da konut kiralamalarını düzenleyen ana yasa, 1703/1987 sayılı Konut Kira Yasası’dır.
Bu yasa, konut kiralarının asgari süresini üç (3) yıl olarak belirler ve peşinat (ön ödeme) ile depozitoyu (teminat bedeli) sınırlandırır.
Tüm konut kiralamaları elektronik olarak Taxisnet sisteminde beyan edilmek zorundadır ve ayrıca Yunan Medeni Kanunu’nun genel hükümlerine de tabidir.

🔹 Konut Kiralamalarına İlişkin Temel Düzenlemeler

1. Asgari Kira Süresi
Konut kiraları en az üç (3) yıl süreyle geçerlidir — sözleşmede daha kısa bir süre belirtilse dahi bu kural değişmez.
Kiracı, bu üç yıllık süre dolmadan mülk sahibinin onayı olmaksızın taşınırsa, depozito iadesi hakkını kaybeder.

2. Depozito (Güvence Bedeli)
Kiracıdan talep edilebilecek en yüksek depozito tutarı, iki aylık kira bedelini geçemez.

3. Elektronik Beyan Zorunluluğu (Taxisnet)
Kira sözleşmeleri mutlaka Taxisnet sistemine elektronik olarak kaydedilmelidir.
Bu işlemi ev sahibi (mülk sahibi) yapar ve kiracının elektronik ortamda onay vermesi gerekir.

📍 Bu beyan yapılmazsa, kira sözleşmesi hukuken geçerli kabul edilmez ve vergi açısından ceza uygulanabilir.

4. Tarafların Hak ve Yükümlülükleri
Kira ilişkisi, hem sözleşmede yer alan koşullara hem de Yunan Medeni Kanunu’nun kira hükümlerine tabidir.
Bu çerçevede:

Kiracı, kira bedelini ve ortak giderleri (apartman aidatı vb.) ödemekle yükümlüdür,

Mülk sahibi, mülkü kullanıma uygun durumda teslim etmekle ve bakımını sağlamakla sorumludur.

🔹 Özel Durumlar

Kirayı tahsil etmeyi reddeden mülk sahibi:
Kiracı, mülk sahibinin kirayı kabul etmemesi halinde ödemeyi Mevduat ve Krediler Fonu’na (Ταμείο Παρακαταθηκών και Δανείων) yatırabilir.
Bu durumda ödeme yasal olarak yapılmış sayılır.

Kiranın ödenmemesi durumunda:
Kiracı ödemede bulunmazsa, mülk sahibi tahliye emri (διαταγή απόδοσης μισθίου) çıkarabilir.
Bu emir, borcun ödenmemesi halinde 20 gün içinde icra edilir.

Kısa dönem kiralamalar (Airbnb vb.):
Airbnb ve benzeri platformlar üzerinden yapılan kiralamalar, özel vergi beyanı ve gelir bildirimi kurallarına tabidir.
Bu kiralamalar, klasik konut kiralarından farklı şekilde değerlendirilir ve AADE sistemine kısa dönem kiralama olarak kaydedilmelidir."
yunan taxis sistemi nedir ,"TaxisNet, hem Yunan vatandaşları hem de Yunanistan’da yaşayan yabancı uyruklular için çeşitli işlevlere sahip resmi bir devlet portalıdır.
Başka bir deyişle, TaxisNet kişisel bilgilerinizi arşivleyen bir sistemdir; kira sözleşmeleri, kontratlar ve vergi beyannameleri gibi önemli belgelerinizi dijital olarak saklar ve erişilebilir hale getirir."
yunan taxis sistemi detaylı bilgi ,"Yunanistan’da TaxisNet Sistemi Nedir?

TaxisNet, Yunanistan Maliye Bakanlığı’na bağlı resmî bir dijital vergi ve kimlik sistemidir.
Hem Yunan vatandaşları hem de Yunanistan’da oturum izniyle yaşayan yabancılar için zorunlu olan bu sistem, kişisel ve mali işlemlerin elektronik ortamda yapılmasını sağlar.

🔹 TaxisNet’in temel amacı

TaxisNet, kişilerin tüm vergi, sözleşme ve kimlik işlemlerini tek bir çevrimiçi platform üzerinden yürütmesini sağlar.
Bu sistem, AADE (Yunan Vergi İdaresi) tarafından yönetilir ve güvenli elektronik kimlik doğrulamasıyla çalışır.

🔹 TaxisNet üzerinden yapılabilen işlemler

Vergi beyanı (income tax declaration)

Emlak vergisi (ENFIA) ödemesi ve görüntüleme

Kira sözleşmelerinin elektronik bildirimi (E-Μίσθωση)

Araç vergisi ve yol harcı ödeme işlemleri

KDV (ΦΠΑ) beyanı ve takibi

Şirket kuruluşu ve vergi sicili işlemleri

Kişisel vergi numarası (AFM) ve adres bilgilerinin güncellenmesi

🔹 Kullanıcı profili ve erişim

Her kullanıcıya özel TaxisNet kullanıcı adı ve şifresi oluşturulur.
Bu bilgiler, Yunanistan’daki hemen her resmî işlem için kimlik doğrulaması olarak kullanılır.
Örneğin:

Banka hesabı açarken,

Elektrik, su veya internet aboneliği yaparken,

Mülk alım-satım ve kira sözleşmelerinde,

Oturum izni başvurularında.

💡 Kısaca TaxisNet, Yunanistan’da dijital vatandaşlık sisteminin temelidir.

🔹 Yabancı yatırımcılar için önemi

Yunanistan’da gayrimenkul yatırımı veya oturum izni almak isteyen üçüncü ülke vatandaşları da AFM (Vergi Numarası) aldıktan sonra TaxisNet hesabı açmak zorundadır.
Bu hesap sayesinde:

Mülk alım işlemleri,

Kira beyannameleri,

Vergi ödemeleri,

Oturum izniyle bağlantılı resmi belgeler
takip edilebilir ve beyan edilebilir.

🟢 Özetle
Konu	Açıklama
Kurum	Yunanistan Vergi İdaresi (AADE)
Amaç	Dijital vergi ve kimlik yönetimi
Kimler kullanır	Yunan vatandaşları ve oturum izni sahipleri
Temel işlevler	Vergi, kira, sözleşme, emlak ve kimlik işlemleri
Giriş şekli	TaxisNet kullanıcı adı & şifre
💼 Bizim rolümüz

Şirketimiz, TaxisNet hesabı oluşturma, AFM (vergi numarası) başvurusu ve sistemdeki ilk tanımlama adımlarında müşterilerine rehberlik eder.
Bu sayede tüm gayrimenkul ve oturum izni süreçleri eksiksiz ve yasal uyumlu şekilde tamamlanır."
,
